ACO_ID,ACO_NAME,STATE,YEAR,N_AB,PREVIOUS_SAVINGS_RATE,PREVIOUS_QUALITY_SCORE,PREVIOUS_PERFORMANCE_GAP_PCT,EXPENDITURE_GROWTH_PCT,BENCHMARK_GROWTH_PCT,BENEFICIARY_GROWTH_PCT,QUALITY_CHANGE,RISK_PROBABILITY,RISK_PREDICTION,RISK_LABEL,RISK_PROBABILITY_PCT,FORECASTED_NEXT_YEAR_SAVINGS_RATE,FORECASTED_NEXT_YEAR_SAVINGS_RATE_PCT,SAVINGS_FORECAST_CATEGORY,TWIN_1_ACO_ID,TWIN_1_ACO_NAME,TWIN_1_STATE,TWIN_1_YEAR,TWIN_1_SIMILARITY_SCORE,TWIN_1_SAVINGS_RATE_PCT,TWIN_1_OUTPERFORMING,TWIN_1_OUTPERFORMANCE_GAP_PCT,TWIN_2_ACO_ID,TWIN_2_ACO_NAME,TWIN_2_STATE,TWIN_2_YEAR,TWIN_2_SIMILARITY_SCORE,TWIN_2_SAVINGS_RATE_PCT,TWIN_2_OUTPERFORMING,TWIN_2_OUTPERFORMANCE_GAP_PCT,TWIN_3_ACO_ID,TWIN_3_ACO_NAME,TWIN_3_STATE,TWIN_3_YEAR,TWIN_3_SIMILARITY_SCORE,TWIN_3_SAVINGS_RATE_PCT,TWIN_3_OUTPERFORMING,TWIN_3_OUTPERFORMANCE_GAP_PCT,TWIN_4_ACO_ID,TWIN_4_ACO_NAME,TWIN_4_STATE,TWIN_4_YEAR,TWIN_4_SIMILARITY_SCORE,TWIN_4_SAVINGS_RATE_PCT,TWIN_4_OUTPERFORMING,TWIN_4_OUTPERFORMANCE_GAP_PCT,TWIN_5_ACO_ID,TWIN_5_ACO_NAME,TWIN_5_STATE,TWIN_5_YEAR,TWIN_5_SIMILARITY_SCORE,TWIN_5_SAVINGS_RATE_PCT,TWIN_5_OUTPERFORMING,TWIN_5_OUTPERFORMANCE_GAP_PCT,TOP5_AVG_SAVINGS_RATE_PCT,TOP5_MEDIAN_SAVINGS_RATE_PCT,TOP5_WEIGHTED_SAVINGS_RATE_PCT,TOP5_BEST_SAVINGS_RATE_PCT,TOP5_WORST_SAVINGS_RATE_PCT,OUTPERFORMING_TWIN_COUNT,OUTPERFORMING_TWIN_RATE,BEST_OUTPERFORMING_TWIN_ID,BEST_OUTPERFORMING_TWIN_NAME,BEST_OUTPERFORMING_TWIN_YEAR,BEST_OUTPERFORMING_TWIN_SIMILARITY,BEST_OUTPERFORMING_TWIN_SAVINGS_RATE_PCT,BEST_OUTPERFORMING_TWIN_GAP_PCT,TWIN_RECOMMENDATION
A00001,Golden Valley Care Alliance Partners,Illinois,2024,16190,0.019198,75.693,-0.5907,3.3278,4.566,5.0412,-1.6561,0.1563928977112646,0,LOW RISK,15.64,-0.0030379363526416,-0.3037936352641688,LOW SAVINGS,A06478,Heartland Health Alliance Medical Center,Connecticut,2022,100.0,-2.5574,False,-3.4147,A02685,Canyon Integrated Health Association,Michigan,2022,61.00894785323848,0.8573000000000001,False,0.0,A03567,Green Valley Clinical Partners Collaborative,Maryland,2021,59.54053120371344,0.7857,False,-0.0716000000000001,A07251,Gateway Community Care Group,Tennessee,2018,59.08923897428721,2.5034,True,1.6461,A07333,Clearview Health Network Network,Massachusetts,2021,59.08923897428721,2.5034,True,1.6461,0.8184800000000001,0.8573000000000001,0.4109255382647,2.5034,-2.5574,2,0.4,A07251,Gateway Community Care Group,2018.0,59.08923897428721,2.5034,1.6461,Use outperforming Twin as benchmark
A00002,Brookside Care Network Network,Massachusetts,2024,8591,0.076673,80.8518,0.1296,-5.3265,-2.8489,-0.1246,-0.9456,0.1325967562422877,0,LOW RISK,13.26,0.0422647266806977,4.226472668069771,HIGH SAVINGS,A03590,Canyon Clinical Partners Alliance,Arizona,2023,71.37699450975369,1.7017999999999998,False,0.0,A03853,Pinnacle Care Alliance Association,Florida,2018,61.20306342216641,1.0247,False,-0.6770999999999999,A03799,Meadow Health Collaborative Partners,Connecticut,2019,61.20306342216641,1.0247,False,-0.6770999999999999,A04494,Evergreen Health Partners Health System,Texas,2022,60.98290138178017,5.7090000000000005,True,4.0072,A02292,Unity Care Physician Alliance,New York,2022,60.02286702060366,1.9739,True,0.2721000000000001,2.2868199999999903,1.7017999999999998,2.2666919699314803,5.7090000000000005,1.0247,2,0.4,A04494,Evergreen Health Partners Health System,2022.0,60.98290138178017,5.7090000000000005,4.0072,Use outperforming Twin as benchmark
A00003,Oakridge Health Physician Alliance,Arizona,2024,10499,-0.031653,84.4126,4.7193,-4.6482,2.7735,-6.0811,5.1641,0.0436181753767777,0,LOW RISK,4.36,0.0152573788660352,1.5257378866035292,MODERATE SAVINGS,A03939,Cedar Healthcare Partners,Connecticut,2020,49.474554069946045,2.3565,False,0.0,A01254,Springfield Medical Group Physician Alliance,Virginia,2020,47.91612116808903,-0.3651999999999999,False,-2.7217,A04616,Community Health Care Network,Indiana,2022,46.85455775833551,0.8085,False,-1.5479999999999998,A07235,Eastgate Medical Care Network,Maryland,2021,46.46515832847877,4.0607,True,1.7041999999999995,A04951,Eastgate Physicians Group,Illinois,2021,46.29334434581315,2.7173,True,0.3608,1.91556,2.3565,1.90479572358095,4.0607,-0.3651999999999999,2,0.4,A07235,Eastgate Medical Care Network,2021.0,46.46515832847877,4.0607,1.7041999999999995,Use outperforming Twin as benchmark
A00004,Eastgate Medical Group Health System,Michigan,2024,36533,0.019936,82.9903,-0.5601,-6.5289,-6.4434,-4.3473,0.215,0.1464950163722951,0,LOW RISK,14.65,0.01150434726474,1.1504347264740071,MODERATE SAVINGS,A00802,Brookside Care Alliance Alliance,Missouri,2018,61.06047276341207,-4.0089,False,-1.2847999999999995,A00130,Cedar Community Care Group,Missouri,2022,61.06047276341207,-4.0089,False,-1.2847999999999995,A05893,Parkview Wellness Physician Alliance,Florida,2021,54.37015275186773,-2.7241,False,0.0,A07059,Golden Valley Care Alliance Network,Washington,2023,53.05367178003771,-0.8293999999999999,True,1.8947000000000005,A07345,Highland Care Network Care Network,Missouri,2019,52.78269288169181,2.6921,True,5.4162,-1.77584,-2.7241,-1.91120911115641,2.6921,-4.0089,2,0.4,A07345,Highland Care Network Care Network,2019.0,52.78269288169181,2.6921,5.4162,Use outperforming Twin as benchmark
A00005,Mountain View Care Alliance Collaborative,Ohio,2024,14476,0.048176,67.2054,2.5635,2.7773,1.2993,2.2169,-6.0355,0.1044406410404037,0,LOW RISK,10.44,0.0008559312002535,0.0855931200253511,MODERATE SAVINGS,A04858,Metro Care Health System,Washington,2023,100.0,-0.4919,False,0.0,A05343,Pinnacle Medical Partners,Maryland,2019,100.0,-0.4919,False,0.0,A01493,Crestview Physician Network Group,Pennsylvania,2019,100.0,-0.4919,False,0.0,A06181,Maplewood Medical Group Group,New Jersey,2020,100.0,-0.4919,False,0.0,A06836,Cedar Medical Partners Group,Missouri,2018,100.0,-0.4919,False,0.0,-0.4919,-0.4919,-0.4919,-0.4919,-0.4919,0,0.0,,,,,,,Use TOP-5 Twin benchmark
A00006,Riverbend Care Alliance Partners,Indiana,2024,24633,0.06068,72.0151,0.9668,-0.686,-1.1893,-0.4668,-3.1519,0.102789509674921,0,LOW RISK,10.28,0.0229508745589307,2.2950874558930723,MODERATE SAVINGS,A01271,Fairview Medical Partners Alliance,Tennessee,2019,100.0,2.0621,False,0.0,A07287,Brookside Care Alliance Collaborative,Oregon,2023,64.06577195229076,3.5683,True,1.5062,A06027,Clearview Care Health System,Pennsylvania,2020,60.37173431428212,4.4655000000000005,True,2.4034,A02064,Crestview Medical Health System,Alabama,2021,58.67721258976466,0.4387,False,-1.6233999999999995,A06237,Horizon Health Partners Network,California,2022,58.67721258976466,0.4387,False,-1.6233999999999995,2.19466,2.0621,2.21154799285612,4.4655000000000005,0.4387,2,0.4,A06027,Clearview Care Health System,2020.0,60.37173431428212,4.4655000000000005,2.4034,Use outperforming Twin as benchmark
A00007,Metro Health Alliance Medical Center,Missouri,2024,66368,0.10825,87.6268,2.5702,0.6866,-3.0765,1.1657,6.3208,0.0179897985188486,0,LOW RISK,1.8,0.0647086422109886,6.470864221098865,HIGH SAVINGS,A01580,Meadow Healthcare Care Network,Massachusetts,2023,48.67348585630208,6.3546000000000005,False,-2.274,A06062,Pinnacle Care Partners Physician Alliance,Minnesota,2021,44.4138110738792,5.9169,False,-2.7117000000000004,A03349,Springfield Clinical Partners Physician Alliance,Georgia,2020,41.00085535024927,8.6286,False,0.0,A04154,Highland Health Medical Center,Oregon,2023,39.525613283371776,10.382,True,1.7533999999999994,A07032,Springfield Care Network Network,Indiana,2020,39.525613283371776,10.382,True,1.7533999999999994,8.33282,8.6286,8.19455530040239,10.382,5.9169,2,0.4,A04154,Highland Health Medical Center,2023.0,39.525613283371776,10.382,1.7533999999999994,Use outperforming Twin as benchmark
A00008,Summit Care Network Medical Center,Massachusetts,2024,17864,-0.013359,79.4399,-2.3825,-12.0,-2.3087,1.4742,0.9267,0.2299040133060859,0,LOW RISK,22.99,-0.0001990776054808,-0.0199077605480841,LOW SAVINGS,A01514,Riverbend Provider Alliance Health System,Florida,2019,54.0399146862932,0.0955,False,0.0,A00119,Pinnacle Physicians Collaborative,Michigan,2018,53.33131865260458,-1.3867,False,-1.4822,A00828,Riverside Health Partners Care Network,New York,2020,53.33131865260458,-1.3867,False,-1.4822,A05001,Fairview Care Alliance Alliance,Missouri,2022,53.30750524580812,5.173,True,5.0775,A00128,Blue Ridge Health Partners Medical Center,Texas,2021,53.30750524580812,5.173,True,5.0775,1.53362,0.0955,1.52915946927487,5.173,-1.3867,2,0.4,A05001,Fairview Care Alliance Alliance,2022.0,53.30750524580812,5.173,5.0775,Use outperforming Twin as benchmark
A00009,Redwood Care Partners Health System,Minnesota,2024,5943,0.0501,76.6882,7.5037,0.3817,0.4296,-2.1351,1.3723,0.0460522770377693,0,LOW RISK,4.61,0.0503482595234073,5.034825952340734,HIGH SAVINGS,A03683,Parkview Health Network Association,Massachusetts,2018,100.0,6.2061,False,0.0,A00119,Pinnacle Physicians Collaborative,Michigan,2021,56.80485406009459,3.1114,False,-3.0947,A03617,Summit Medical Group Alliance,Illinois,2019,56.80485406009459,3.1114,False,-3.0947,A01306,Riverside Care Partners Medical Center,New York,2023,52.27956080380164,7.546,True,1.3399,A07495,Fairview Health Network Collaborative,Missouri,2022,52.27956080380164,7.546,True,1.3399,5.50418,6.2061,5.54139253365749,7.546,3.1114,2,0.4,A01306,Riverside Care Partners Medical Center,2023.0,52.27956080380164,7.546,1.3399,Use outperforming Twin as benchmark
A00010,Heartland Physicians Care Network,Arizona,2024,14766,0.060489,87.7401,5.1429,-3.5221,1.9174,-0.9555,5.7731,0.0246688691731441,0,LOW RISK,2.47,0.0505231679032824,5.052316790328245,HIGH SAVINGS,A06947,Northstar Care Partners Network,Florida,2022,66.52068073599999,5.4244,True,0.7720999999999999,A03207,Canyon Wellness Care Network,Oregon,2022,58.20665527320333,5.9662,True,1.3138999999999998,A01698,Grandview Medical Partners Group,Oregon,2019,57.792546192215575,3.9599,False,-0.6923999999999999,A02405,Green Valley Health Alliance Physician Alliance,Missouri,2019,57.792546192215575,3.9599,False,-0.6923999999999999,A00330,Fairview Wellness Physician Alliance,Indiana,2023,53.11065014674098,4.6523,False,0.0,4.79254,4.6523,4.81522932454585,5.9662,3.9599,2,0.4,A03207,Canyon Wellness Care Network,2022.0,58.20665527320333,5.9662,1.3138999999999998,Use outperforming Twin as benchmark
