feature,dtype
performance_year,int64
provider_type,object
specialty,object
beneficiary_count,int32
hcc_risk_aged_dual,float64
admissions_per_1000,float64
inpatient_expenditure,float64
outpatient_expenditure,float64
professional_expenditure,float64
snf_expenditure,float64
home_health_expenditure,float64
ed_visits_per_1000,float64
snf_admission_rate,float64
pcp_visits_per_1000,float64
specialist_visits_per_1000,float64
hcc_risk_aged_nondual,float64
hcc_risk_disabled,float64
hcc_risk_esrd,float64
pcp_visits_per_1000_missing,int32
specialist_visits_per_1000_missing,int32
aco_avg_total_expenditure,float64
aco_avg_per_capita_expenditure,float64
aco_avg_quality_score,float64
aco_avg_admissions_per_1000,float64
aco_avg_ed_visits_per_1000,float64
aco_avg_snf_admission_rate,float64
aco_avg_hcc_risk_aged_dual,float64
aco_std_total_expenditure,float64
aco_std_per_capita_expenditure,float64
aco_std_quality_score,float64
aco_std_admissions_per_1000,float64
aco_std_ed_visits_per_1000,float64
aco_std_snf_admission_rate,float64
aco_std_hcc_risk_aged_dual,float64
cost_vs_aco,float64
per_capita_vs_aco,float64
quality_vs_aco,float64
admissions_vs_aco,float64
ed_visits_vs_aco,float64
snf_admission_vs_aco,float64
risk_vs_aco,float64
